"speciesCode","commonName","order","scientificName","COSEWIC","Cavity","Waterfowl","Marine_Birds","Shorebirds","Wetland_Birds","Birds_of_Prey","Forest_Birds","Grassland_Birds","Aerial_Insectivores","Arctic_Birds"
"ALFL","Alder Flycatcher","Passeriformes","Empidonax alnorum",0,0,0,0,0,1,0,0,0,1,0
"AMCR","American Crow","Passeriformes","Corvus brachyrhynchos",0,0,0,0,0,0,0,0,0,0,0
"AMGO","American Goldfinch","Passeriformes","Spinus tristis",0,0,0,0,0,0,0,0,0,0,0
"AMPI","American Pipit","Passeriformes","Anthus rubescens",0,0,0,0,0,0,0,0,0,0,0
"AMRE","American Redstart","Passeriformes","Setophaga ruticilla",0,0,0,0,0,0,0,1,0,0,0
"AMRO","American Robin","Passeriformes","Turdus migratorius",0,0,0,0,0,0,0,0,0,0,0
"ATTW","American Three-toed Woodpecker","Piciformes","Picoides dorsalis",0,1,0,0,0,0,0,1,0,0,0
"ATSP","American Tree Sparrow","Passeriformes","Spizelloides arborea",0,0,0,0,0,0,0,0,0,0,0
"BAOR","Baltimore Oriole","Passeriformes","Icterus galbula",0,0,0,0,0,0,0,0,0,0,0
"BANS","Bank Swallow","Passeriformes","Riparia riparia",1,0,0,0,0,0,0,0,0,1,0
"BARS","Barn Swallow","Passeriformes","Hirundo rustica",1,0,0,0,0,0,0,0,0,1,0
"BBWA","Bay-breasted Warbler","Passeriformes","Setophaga castanea",0,0,0,0,0,0,0,1,0,0,0
"BEKI","Belted Kingfisher","Coraciiformes","Megaceryle alcyon",0,0,0,0,0,1,0,0,0,0,0
"BAWW","Black-and-white Warbler","Passeriformes","Mniotilta varia",0,0,0,0,0,0,0,1,0,0,0
"BBWO","Black-backed Woodpecker","Piciformes","Picoides arcticus",0,1,0,0,0,0,0,1,0,0,0
"BBCU","Black-billed Cuckoo","Cuculiformes","Coccyzus erythropthalmus",0,0,0,0,0,0,0,0,0,0,0
"BBMA","Black-billed Magpie","Passeriformes","Pica hudsonia",0,0,0,0,0,0,0,0,0,0,0
"BCCH","Black-capped Chickadee","Passeriformes","Poecile atricapillus",0,1,0,0,0,0,0,1,0,0,0
"BTBW","Black-throated Blue Warbler","Passeriformes","Setophaga caerulescens",0,0,0,0,0,0,0,1,0,0,0
"BTNW","Black-throated Green Warbler","Passeriformes","Setophaga virens",0,0,0,0,0,0,0,1,0,0,0
"BLBW","Blackburnian Warbler","Passeriformes","Setophaga fusca",0,0,0,0,0,0,0,1,0,0,0
"BLPW","Blackpoll Warbler","Passeriformes","Setophaga striata",0,0,0,0,0,0,0,1,0,0,0
"BLJA","Blue Jay","Passeriformes","Cyanocitta cristata",0,0,0,0,0,0,0,0,0,0,0
"BGGN","Blue-gray Gnatcatcher","Passeriformes","Polioptila caerulea",0,0,0,0,0,0,0,0,0,0,0
"BHVI","Blue-headed Vireo","Passeriformes","Vireo solitarius",0,0,0,0,0,0,0,1,0,0,0
"BOBO","Bobolink","Passeriformes","Dolichonyx oryzivorus",1,0,0,0,0,0,0,0,1,0,0
"BOWA","Bohemian Waxwing","Passeriformes","Bombycilla garrulus",0,0,0,0,0,0,0,1,0,0,0
"BOCH","Boreal Chickadee","Passeriformes","Poecile hudsonicus",0,1,0,0,0,0,0,1,0,0,0
"BRBL","Brewer's Blackbird","Passeriformes","Euphagus cyanocephalus",0,0,0,0,0,0,0,0,0,0,0
"BRCR","Brown Creeper","Passeriformes","Certhia americana",0,1,0,0,0,0,0,1,0,0,0
"BRTH","Brown Thrasher","Passeriformes","Toxostoma rufum",0,0,0,0,0,0,0,0,0,0,0
"BHCO","Brown-headed Cowbird","Passeriformes","Molothrus ater",0,0,0,0,0,0,0,0,0,0,0
"CAWA","Canada Warbler","Passeriformes","Cardellina canadensis",1,0,0,0,0,0,0,1,0,0,0
"CMWA","Cape May Warbler","Passeriformes","Setophaga tigrina",0,0,0,0,0,0,0,1,0,0,0
